key,source,basis,place,article,sentence,coord_source,merged_series
はたらく魔王さま!,Wikipedia由来,舞台,幡ヶ谷駅,はたらく魔王さま!,作品の舞台となる京王新線幡ヶ谷駅。手前の地下通路よりマクドナルド幡ヶ谷ゴールデンセンター店に直結しており、地上出口横にはアニメ版のモデルとなったモスバーガー幡ヶ谷駅前店（閉店）が所在した,osm(wikidata:Q4496513),パリピ孔明|とんかつDJアゲ太郎|新しい上司はど天然
BanG Dream!(金泉湯),公式選定,モデル,金泉湯,BanG Dream!,銭湯・金泉湯は六花の下宿先「旭湯」の一部モデルとなっている,osm(名前一致),
BanG Dream!(飛鳥山公園),公式選定,舞台,飛鳥山公園,BanG Dream!,戸山姉妹の自宅の最寄り駅は飛鳥山停留場がモデルとなっており、その近くの飛鳥山公園も作中で使用される,osm(wikidata:Q901172),
DAN DOH!!,Wikipedia由来,エリア,熊本市,DAN DOH!!,Wikipedia(ja)のカテゴリ「熊本市を舞台とした作品」に属する,osm(wikidata:Q199889),
Do It Yourself!! -どぅー・いっと・ゆあせるふ-,公式選定,エリア,新潟県,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,jawikiのカテゴリ「新潟県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q132705),
I'll,Wikipedia由来,エリア,小田原市,I'll,Wikipedia(ja)のカテゴリ「小田原市を舞台とした作品」に属する,osm(wikidata:Q267258),
MFゴースト,公式選定,舞台,箱根ターンパイク,MFゴースト,作中の公道レースの舞台として登場する,jawiki,
SLAM DUNK,Wikipedia由来,エリア,広島市,SLAM DUNK,Wikipedia(ja)のカテゴリ「広島市を舞台とした作品」に属する,osm(wikidata:Q34664),
Turkey!,公式選定,エリア,長野県,Turkey!,jawikiのカテゴリ「長野県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q127877),
〈小市民〉シリーズ,公式選定,エリア,岐阜県,〈小市民〉シリーズ,jawikiのカテゴリ「岐阜県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q131277),
あひるの空,Wikipedia由来,エリア,川崎市,あひるの空,Wikipedia(ja)のカテゴリ「川崎市を舞台とした作品」に属する,osm(wikidata:Q164234),恋は雨上がりのように|彼氏彼女の事情|ぼくの地球を守って|NHKにようこそ!|RELEASE THE SPYCE
おおかみこどもの雨と雪,公式選定,エリア,上市町,おおかみこどもの雨と雪,作品記事に「細田の出身地である富山県中新川郡上市町と隣の立山町の景観が描かれている」とある。モデルとなった家は個人宅のため点にせず代表点とした,osm(wikidata:Q1204302),
おぼっちゃまくん,Wikipedia由来,エリア,世田谷区,おぼっちゃまくん,Wikipedia(ja)のカテゴリ「世田谷区を舞台とした作品」に属する,osm(wikidata:Q231645),コボちゃん|紫雲寺家の子供たち|イエスタデイをうたって|将太の寿司|魔法遣いに大切なこと|神様家族|MOUSE
からかい上手の高木さん,公式選定,舞台,小豆島,からかい上手の高木さん,アニメ版では作者の出身地である香川県小豆島、および同島内の土庄中学校であると設定されている,osm(wikidata:Q2166413),
ど根性ガエル,Wikipedia由来,エリア,葛飾区,ど根性ガエル,Wikipedia(ja)のカテゴリ「葛飾区を舞台とした作品」に属する,osm(wikidata:Q232628),
さよなら私のクラマー,公式選定,エリア,埼玉県,さよなら私のクラマー,jawikiのカテゴリ「埼玉県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q128186),
