name,name_kana,lat,lng,region,rank,series,categories,description,key
パリピ孔明,,35.6637109,139.6976941,東京都,C,パリピ孔明,Wikipedia由来|エリア指定,渋谷区(東京都)。『パリピ孔明』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「パリピ孔明」),パリピ孔明
とんかつDJアゲ太郎,,35.6637109,139.6976941,東京都,D,とんかつDJアゲ太郎,Wikipedia由来|エリア指定,渋谷区(東京都)。『とんかつDJアゲ太郎』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「とんかつDJアゲ太郎」),とんかつDJアゲ太郎
新しい上司はど天然,,35.6637109,139.6976941,東京都,D,新しい上司はど天然,Wikipedia由来|エリア指定,渋谷区(東京都)。『新しい上司はど天然』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「新しい上司はど天然」),新しい上司はど天然
はたらく魔王さま!(幡ヶ谷駅),,35.6772317,139.6768293,東京都,B,はたらく魔王さま!,Wikipedia由来|スポット指定,幡ヶ谷駅(東京都)。『はたらく魔王さま!』の舞台となる駅。地上出口の横には、アニメ版に出る店のモデルになったハンバーガー店(閉店)があった。(出典: ja.wikipedia「はたらく魔王さま!」),はたらく魔王さま!
BanG Dream!(金泉湯),,35.7143937,139.8387866,東京都,C,BanG Dream!,公式選定|スポット指定,金泉湯(東京都)。『BanG Dream!』の舞台のモデルとされる。(出典: ja.wikipedia「BanG Dream!」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,BanG Dream!(金泉湯)
BanG Dream!(飛鳥山公園),,35.750757,139.7384948,東京都,C,BanG Dream!,公式選定|スポット指定,飛鳥山公園(東京都)。『BanG Dream!』の舞台として作中に登場する。(出典: ja.wikipedia「BanG Dream!」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,BanG Dream!(飛鳥山公園)
DAN DOH!!,,32.8033909,130.7082737,熊本県,E,DAN DOH!!,Wikipedia由来|エリア指定,熊本市(熊本県)。『DAN DOH!!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「DAN DOH!!」)(出典: ja.wikipedia のカテゴリ),DAN DOH!!
Do It Yourself!! -どぅー・いっと・ゆあせるふ-,,37.6452283,138.7669125,新潟県,D,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,公式選定|エリア指定,新潟県。『Do It Yourself!! -どぅー・いっと・ゆあせるふ-』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「Do It Yourself!! -どぅー・いっと・ゆあせるふ-」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,Do It Yourself!! -どぅー・いっと・ゆあせるふ-
I'll,,35.2645301,139.152246,神奈川県,E,I'll,Wikipedia由来|エリア指定,小田原市(神奈川県)。『I'll』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「I'll」)(出典: ja.wikipedia のカテゴリ),I'll
MFゴースト,,35.19753,139.07297,神奈川県,B,MFゴースト,公式選定|スポット指定,箱根ターンパイク(神奈川県)。『MFゴースト』の舞台として作中に登場する。(出典: ja.wikipedia「MFゴースト」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,MFゴースト
SLAM DUNK,,34.3917241,132.4517589,広島県,B,SLAM DUNK,Wikipedia由来|エリア指定,広島市(広島県)。『SLAM DUNK』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「SLAM DUNK」)(出典: ja.wikipedia のカテゴリ),SLAM DUNK
Turkey!,,36.1143945,138.0319015,長野県,C,Turkey!,公式選定|エリア指定,長野県。『Turkey!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「Turkey!」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,Turkey!
〈小市民〉シリーズ,,35.7867449,137.0460777,岐阜県,B,〈小市民〉シリーズ,公式選定|エリア指定,岐阜県。『〈小市民〉シリーズ』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「〈小市民〉シリーズ」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,〈小市民〉シリーズ
恋は雨上がりのように,,35.5306639,139.7037668,神奈川県,C,恋は雨上がりのように,Wikipedia由来|エリア指定,川崎市(神奈川県)。『恋は雨上がりのように』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「恋は雨上がりのように」),恋は雨上がりのように
彼氏彼女の事情,,35.5306639,139.7037668,神奈川県,C,彼氏彼女の事情,Wikipedia由来|エリア指定,川崎市(神奈川県)。『彼氏彼女の事情』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「彼氏彼女の事情」),彼氏彼女の事情
ぼくの地球を守って,,35.5306639,139.7037668,神奈川県,C,ぼくの地球を守って,Wikipedia由来|エリア指定,川崎市(神奈川県)。『ぼくの地球を守って』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「ぼくの地球を守って」),ぼくの地球を守って
NHKにようこそ!,,35.5306639,139.7037668,神奈川県,C,NHKにようこそ!,Wikipedia由来|エリア指定,川崎市(神奈川県)。『NHKにようこそ!』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「NHKにようこそ!」),NHKにようこそ!
RELEASE THE SPYCE,,35.5306639,139.7037668,神奈川県,E,RELEASE THE SPYCE,Wikipedia由来|エリア指定,川崎市(神奈川県)。『RELEASE THE SPYCE』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「RELEASE THE SPYCE」),RELEASE THE SPYCE
あひるの空,,35.5306639,139.7037668,神奈川県,C,あひるの空,Wikipedia由来|エリア指定,川崎市(神奈川県)。『あひるの空』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「あひるの空」)(出典: ja.wikipedia のカテゴリ),あひるの空
おおかみこどもの雨と雪,,36.6988446,137.3617155,富山県,C,おおかみこどもの雨と雪,公式選定|エリア指定,上市町(富山県)。『おおかみこどもの雨と雪』の舞台とされる地域。点として特定できる記述が無いため、代表点として収録している。(出典: ja.wikipedia「おおかみこどもの雨と雪」)アニメツーリズム協会「訪れてみたい日本のアニメ聖地88」の現行の選定地。,おおかみこどもの雨と雪
