route,series,seq,spot_key
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,1,七里の渡し
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,2,日永の追分
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,3,神戸城跡
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,4,白子港緑地
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,5,津城跡
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,6,松阪商人の館
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,7,松坂城跡
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,8,斎宮歴史博物館
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,9,二見興玉神社
伊勢神宮への旅(第5シリーズ#1〜#5),【#1 伊勢神宮への旅・第一夜「巨大鳥居の謎!名物グルメ!三差路!」】,10,皇大神宮(内宮)
富士山登山(第4シリーズ#19〜#21),【#19 富士山「富士山はなぜ美しい?」】,1,富士山本宮浅間大社
富士山登山(第4シリーズ#19〜#21),【#19 富士山「富士山はなぜ美しい?」】,2,宝永山
富士山登山(第4シリーズ#19〜#21),【#19 富士山「富士山はなぜ美しい?」】,3,剣ヶ峰
大山詣り(第5シリーズ#12〜#13),【#12 粋でいなせな大山詣り「江戸っ子の大山詣り」】,1,阿夫利神社下社
大山詣り(第5シリーズ#12〜#13),【#12 粋でいなせな大山詣り「江戸っ子の大山詣り」】,2,阿夫利神社本社
