name,name_kana,prefecture,municipality,lat,lng,rank,category,description,official_url
崇徳天皇御廟,,京都府,,35.001378,135.7763475,A,神社,崇徳天皇（すとくてんのう、旧字体: 崇德天皇、1119年7月7日〈元永2年5月28日〉- 1164年9月14日〈長寛2年8月26日〉）は、日本の第75代天皇（在位: 1123...,
伊勢神宮 内宮,,三重県,伊勢市,34.4568397,136.7240254,A,神社,伊勢神宮（いせじんぐう）は、日本の三重県伊勢市にある神社。正式名称は「神宮」（じんぐう）である。,
出雲大社,,島根県,,35.3997948,132.6855077,A,神社,出雲大社（いずもおおやしろ / いずもたいしゃ）は、島根県出雲市大社町杵築東にある神社。祭神は大国主大神。,
平等院,,京都府,,34.8894972,135.8075436,A,寺院,平等院（びょうどういん）は、京都府宇治市宇治蓮華にある単立の寺院。山号は朝日山。,
平安神宮,,京都府,京都市,35.016171,135.7828996,A,神社,平安神宮（へいあんじんぐう）は、京都市左京区にある神社。,
法隆寺,,奈良県,斑鳩町,34.6139827,135.7359814,A,寺院,法隆寺（ほうりゅうじ、旧字体: 法隆󠄁寺）は、奈良県生駒郡斑鳩町法隆寺山内にある聖徳宗の総本山の寺院。山号はなし。,
日光東照宮,,栃木県,日光市,36.757705,139.5990943,A,神社,日光東照宮（にっこうとうしょうぐう）は、栃木県日光市にある神社。,
金閣寺,,京都府,京都市,35.0395853,135.7295062,A,寺院,,
清水寺,,京都府,,34.9944239,135.7844825,A,寺院,清水寺（きよみずでら、英: Kiyomizu-dera Temple）は、京都市東山区清水1丁目にある北法相宗の大本山の寺院。山号は音羽山。,
櫻田山神社,,宮城県,栗原市,38.7958176,140.9848698,A,神社,櫻田山神社（さくらださんじんじゃ）は、宮城県栗原市栗駒桜田にある神社。正式名称は山神社（さんじんじゃ）であるが、地区名の桜田を冠した「櫻田山神社」で一般に呼ばれる。,
善光寺,,長野県,,36.661395,138.1878461,A,寺院,善光寺（ぜんこうじ）は、長野県長野市元善町に存在する無宗派の単立仏教寺院。住職は「大勧進貫主」と「大本願上人」の両名が務め、実際の護持・運営は天台宗と浄土宗が担っている（後述）。,
鹿島神宮,,茨城県,,35.9687708,140.6315435,A,神社,,
永平寺,,福井県,永平寺町,36.0556875,136.3560726,A,寺院,永平寺（えいへいじ）は、福井県吉田郡永平寺町にある、曹洞宗の仏教寺院。總持寺と並んで、日本における曹洞宗の中心的な寺院（大本山）である。,
立正佼成会,,北海道,苫小牧市,42.6532521,141.629912,A,寺院,,
明治神宮,,東京都,渋谷区,35.6750484,139.6994785,A,神社,明治神宮（めいじじんぐう）は、日本の東京都渋谷区にある神社。祭神は明治天皇と昭憲皇太后で、明治天皇崩御後の1920年（大正9年）11月1日に創建された。,
鶴岡八幡宮,,神奈川県,鎌倉市,35.3251675,139.5559376,A,神社,,
東寺,,京都府,,34.981189,135.74771,A,寺院,東寺（とうじ）は、京都市南区九条町にある東寺真言宗の総本山の寺院。山号は八幡山。,
薬師寺,,奈良県,奈良市,34.6687298,135.7845238,A,寺院,,
金龍山 浅草寺,,東京都,台東区,35.713454,139.7959524,A,寺院,浅草寺（せんそうじ）は、東京都台東区浅草二丁目にある都内最古の寺で、正式には金龍山浅草寺（きんりゅうざんせんそうじ）と号する。,
西本願寺,,京都府,,34.991585,135.7510539,A,寺院,,
金刀比羅宮,,香川県,琴平町,34.1840227,133.80939,A,神社,,
金峯山寺,,奈良県,,34.3682805,135.85798,A,寺院,,
氷川神社,,埼玉県,さいたま市,35.9166734,139.629768,A,神社,氷川神社（ひかわじんじゃ）は、埼玉県さいたま市大宮区高鼻町一丁目にある神社。式内社（名神大社）、武蔵国一宮を称する（ないし三宮）勅祭社。,
香取神宮,,千葉県,香取市,35.8857007,140.5289896,A,神社,,
金剛峯寺,,和歌山県,,34.213977,135.5836533,A,寺院,,
四天王寺,,大阪府,大阪市,34.6546295,135.5164027,A,寺院,四天王寺（してんのうじ）は、大阪市天王寺区四天王寺にある和宗の総本山の寺院。山号は荒陵山（あらはかさん）。,
神田明神,,東京都,千代田区,35.7019658,139.7677523,A,神社,神田明神（かんだみょうじん）は、東京都千代田区外神田二丁目にある神社。正式名称は神田神社（かんだじんじゃ）。,
等持院,,京都府,,35.0312675,135.7239839,A,寺院,,
