name,name_kana,lat,lng,region,rank,series,categories,description,key
北海道神宮,ほっかいどうじんぐう,43.0545817,141.3092301,北海道,A,神社,,北海道神宮（ほっかいどうじんぐう）は、北海道札幌市中央区にある神社（神宮）。円山公園に隣接する。1964年（昭和39年）までは札幌神社。旧官幣大社であり、現在は神社本庁の別表神社。また、全国一の宮会より蝦夷国新一の宮に認定されている。(出典: ja.wikipedia「北海道神宮」 https://ja.wikipedia.org/wiki/北海道神宮),北海道神宮
中尊寺,ちゅうそんじ,39.0009727,141.103602,岩手県,A,寺院,,中尊寺（ちゅうそんじ）は、岩手県西磐井郡平泉町にある天台宗東北大本山の寺院。奥州三十三観音番外札所。山号は関山（かんざん）、本尊は釈迦如来 中尊寺本堂新本尊釈迦如来開眼法要（平泉観光協会公式ブログ）。寺伝では円仁の開山とされる。実質的な開基は藤原清衡。 奥州藤原氏三代ゆかりの寺として著名であり、平安時代の美術、工芸、建築の粋を集めた金色堂をはじめ、多くの文化財を有する。(出典: ja.wikipedia「中尊寺」 https://ja.wikipedia.org/wiki/中尊寺),中尊寺
毛越寺,もうつうじ,38.9882247,141.1073021,岩手県,A,寺院,,毛越寺（もうつうじ）は、岩手県西磐井郡平泉町（創建時は陸奥国磐井郡平泉）に所在する、天台宗の寺院。現在の本尊は源義経が拝んでいたであろう当時の本尊は嘉禄2年（1226年、鎌倉時代中期）に焼失した。しかしその後、義経が生きていた時代に造られたという薬師如来像を譲り受け、以来、本尊として今に到る。薬師如来立像（平安時代後期の作。脇侍は日光菩薩・月光菩薩）。建築は平安様式。(出典: ja.wikipedia「毛越寺」 https://ja.wikipedia.org/wiki/毛越寺),毛越寺
御釜神社,おかまじんじゃ,38.3160871,141.0179079,宮城県,A,神社,,御釜神社（おかまじんじゃ）は、宮城県塩竈市本町にある神社。現在は鹽竈神社の境外末社。 「塩竈」の地名の由来とされる竈が境内に安置される。また毎年7月には鹽竈神社例祭の神饌を調進する特殊神事「藻塩焼神事」が行われるなど、鹽竈神社の末社でも特別な位置づけにある。(出典: ja.wikipedia「御釜神社」 https://ja.wikipedia.org/wiki/御釜神社),御釜神社
櫻田山神社,さくらださんじんじゃ,38.7958176,140.9848698,宮城県,A,神社,,櫻田山神社（さくらださんじんじゃ）は、宮城県栗原市栗駒桜田にある神社。正式名称は山神社（さんじんじゃ）であるが、地区名の桜田を冠した「櫻田山神社」で一般に呼ばれる。約1500年前に創建されたとされ鳥居復活、笑いで恩返し 栗原・狩野英孝さん実家（河北新報 2009年2月18日）、県内でも有数の歴史を持つ。社格は村社。(出典: ja.wikipedia「櫻田山神社」 https://ja.wikipedia.org/wiki/櫻田山神社),櫻田山神社
瑞巌寺,ずいがんじ,38.3721758,141.0595579,宮城県,A,寺院,,瑞巌寺（ずいがんじ）は、宮城県宮城郡松島町にある臨済宗妙心寺派の仏教寺院である。日本三景の一つ、松島にあり、山号を含めた詳名は松島青龍山瑞巌円福禅寺（しょうとうせいりゅうざん ずいがんえんぷくぜんじ）。平安時代の創建で、宗派と寺号は天台宗延福寺、臨済宗建長寺派円福寺、現在の臨済宗妙心寺派瑞巌寺と変遷した。古くは松島寺とも通称された。(出典: ja.wikipedia「瑞巌寺」 https://ja.wikipedia.org/wiki/瑞巌寺),瑞巌寺
鳥海山大物忌神社,ちょうかいさんおおものいみじんじゃ,39.0977038,140.048707,山形県,A,神社,,鳥海山大物忌神社（ちょうかいさんおおものいみじんじゃ）は、山形県飽海郡遊佐町にある神社。式内社（名神大社）、出羽国一宮。旧社格は国幣中社で、現在は神社本庁の別表神社。(出典: ja.wikipedia「鳥海山大物忌神社」 https://ja.wikipedia.org/wiki/鳥海山大物忌神社),鳥海山大物忌神社
伊佐須美神社,いさすみじんじゃ,37.4564105,139.8404408,福島県,A,神社,,伊佐須美神社（いさすみじんじゃ）は、福島県大沼郡会津美里町宮林にある神社。式内社（名神大社）、陸奥国二宮。平成の時代になって、全国一の宮会が岩代国一宮に認定。旧社格は国幣中社で、現在は神社本庁の別表神社。(出典: ja.wikipedia「伊佐須美神社」 https://ja.wikipedia.org/wiki/伊佐須美神社),伊佐須美神社
八槻都都古別神社,,36.9943289,140.3923674,福島県,A,神社,,都々古別神社（つつこわけじんじゃ、都都古別神社/都都古和気神社/都々古和気神社）は、福島県東白川郡棚倉町にある神社。主な同名神社として2社があり、いずれも陸奥国白河郡の式内社（名神大社）論社で、陸奥国一宮。(出典: ja.wikipedia「都々古別神社」 https://ja.wikipedia.org/wiki/都々古別神社),八槻都都古別神社
修多羅寺,しゅたらじ,36.4751657,140.2850357,茨城県,A,寺院,,修多羅寺（しゅたらじ）は、茨城県東茨城郡城里町小勝にある日蓮宗の寺院。山号は長久山、旧本山は大本山法華経寺(中山門流)。(出典: ja.wikipedia「修多羅寺」 https://ja.wikipedia.org/wiki/修多羅寺),修多羅寺
