key,article,place_kind,pref,muni,origin_pref,origin_muni,origin_basis,origin_sentence,local_pref,local_muni,local_sentence,coord,pageviews_month,muni_basis,muni_sentence,muni_shop,origin_verdict,origin_verdict_sentence
家系ラーメン,家系ラーメン,発祥店,神奈川県,横浜市,神奈川県,横浜市,発祥を述べる文,横浜市内でも、元祖家系の吉村家や六角家等がある西区や神奈川区などをはじめとする横浜都心部周辺が家系ラーメンの激戦区として際立っている。,,,,発祥店:吉村家(restaurant),14927,,,,発祥がわかる,家系ラーメン（いえけいラーメン）あるいは横浜家系ラーメン（よこはまいえけいラーメン）は、神奈川県横浜市のラーメン店・吉村家（1974年創業）を源流とするラーメン店の店舗群、あるいは吉村家に類似する濃厚な豚骨醤油ラーメンのジャンルを指す名称。
コリアンダー,コリアンダー,発祥地,沖縄県,,沖縄県,,都道府県のみ,コリアンダー（; 学名: ）は、セリ科コエンドロ属の一年草である。,,,,"osm(県庁所在地:那覇市,node:567940176)",12332,,,,発祥は特定なし,コリアンダー（ coriander; 学名: Coriandrum sativum）は、セリ科コエンドロ属の一年草である。地中海沿岸原産で、日本には10世紀ごろに渡来した。
喜多方ラーメン,喜多方ラーメン,発祥店,福島県,喜多方市,福島県,喜多方市,発祥を述べる文,喜多方ラーメン（きたかたラーメン）は、福島県喜多方市発祥のご当地ラーメン（ご当地グルメ）。,,,,発祥店:源来軒 (way:293173430)(amenity=restaurant),10615,,,,発祥がわかる,1924年（大正13年）、「源来軒」創業者の潘欽星 / 藩欽星（ばん きんせい、1905年 - 1994年）が、中華麺に近い「支那そば」を打ち、屋台を引いたのが原点である。
ひつまぶし,ひつまぶし,発祥店,愛知県,名古屋市,愛知県,名古屋市,発祥を述べる文,名古屋市発祥説発祥店を名乗る店としては、愛知県名古屋市熱田区の「あつた蓬莱軒」や錦三丁目の「いば昇」があるが、ひつまぶしの成立時期を、「あつた蓬莱軒」は明治時代、「いば昇」は大正時代であったとしており、こちらも相違が見られる。,,,,発祥店:あつた蓬莱軒 本店(restaurant),9374,,,,発祥は特定なし,この料理の成り立ちについては諸説あり、正確にはわかっていない。
冷やし中華,冷やし中華,発祥地,宮城県,仙台市,宮城県,仙台市,都道府県のみ,発祥地とされる店は2つある。一つは仙台市青葉区錦町の龍亭、もう一つは東京都千代田区神田神保町の揚子江菜館である。,,,,"osm(place=city,node:752184864)",8426,,,,発祥がわかる,仙台市錦町の龍亭で冷し中華の原型が発売されたのは、1937年（昭和12年）とされる。
ちゃん系ラーメン,ちゃん系ラーメン,発祥地,東京都,千代田区,東京都,千代田区,冒頭の定義文,ちゃん系ラーメン（ちゃんけいラーメン）とは、東京都千代田区のラーメン店・神田ちえちゃんラーメン（2020年6月創業）を源流とするラーメン店舗群、及び「ちゃんのれん組合」に加盟しているラーメン店が提供しているラーメンのジャンルを指す名称。,,,,"osm(発祥店のある地区:神田,node:2558121917)",7990,発祥店のある地区(神田),ちゃん系という名称は2020年に創業した「神田ちえちゃんラーメン」を起点とし、同店の創業メンバーが「ちゃんのれん組合」を結成し、その後分店やのれん分けにより広がっていった。,神田ちえちゃんラーメン,発祥がわかる,ちゃん系ラーメン（ちゃんけいラーメン）とは、東京都千代田区のラーメン店・神田ちえちゃんラーメン（2020年6月創業）を源流とするラーメン店舗群、及び「ちゃんのれん組合」に加盟しているラーメン店が提供しているラーメンのジャンルを指す名称。
タコライス,タコライス,発祥地,沖縄県,金武町,沖縄県,金武町,発祥を述べる文,発祥・由来タコライスは沖縄県金武町、キャンプハンセンのゲート前に広がる飲食店街（新開地）にあった「パーラー千里（せんり）」の創業者、儀保松三の考案により1984年（昭和59年）に誕生した。,,,,"osm(place=town,node:656133715)",7819,,,,発祥がわかる,タコライスは沖縄県金武町、キャンプハンセンのゲート前に広がる飲食店街（新開地）にあった「パーラー千里（せんり）」の創業者、儀保松三の考案により1984年（昭和59年）に誕生した。
ジンギスカン (料理),ジンギスカン (料理),発祥地,北海道,,北海道,,都道府県のみ,一般的には北海道を代表する郷土料理とされる他、岩手県遠野市、山形県の蔵王温泉付近をはじめとする東北地方の一部、長野県の長野市、飯田市などでも盛んに食される。,,,,"osm(県庁所在地:札幌市,node:57683926)",7074,,,,発祥は特定なし,料理の命名には諸説あり、源義経が北海道を経由してモンゴルに渡ってジンギスカンとなったという都市伝説（義経=ジンギスカン説）から想起したものであるとも言われている。
タラバガニ,タラバガニ,発祥地,北海道,,北海道,,都道府県のみ,タラバガニ（鱈場蟹、学名：、英語：）は、十脚目（エビ目） - 異尾下目（ヤドカリ下目） - タラバガニ科 - に属する甲殻類の一種。,,,,"osm(県庁所在地:札幌市,node:57683926)",6202,,,,発祥は特定なし,タラ漁師が誤って網を海底までおろしてしまい、網を引き上げてみると見たことのないカニが掛かっていたのがタラバガニ漁の起源である、との伝えもある。
冷や汁,冷や汁,発祥地,宮崎県,,宮崎県,,都道府県のみ,すったて 岐阜県の郷土料理 すったて汁冷や汁  ファイル:12 2夕食（冷や汁定食） (2097833934).jpg  冷や汁定食 (宮崎県)      宮崎県（宮崎県では基本的に「ひやしる」と呼ばれている）、埼玉県、山形県、群馬県ほか                        100 g冷や汁（ひやしる/ひやじる、冷汁とも）は、出汁と味噌で味を付けた、冷たい汁物料理。,,,,"osm(宮崎平野の代表:宮崎市,node:739203629)",6078,宮崎平野の代表(表に当てた),昭和40年代までは宮崎平野を中心とする地域の郷土料理であり、宮崎県北地域や県西地域ではほとんど食されていなかったが、食文化の拡大に伴い、県内広域で食されるようになってきていることが、各種調査の結果から判明している。,,発祥は特定なし,このような「冷汁」と称される、味噌を調味料とした料理が僧侶等によって全国に流布され、以後、気候風土が適した地域のみに残ったとされる。
