name,name_kana,lat,lng,region,rank,series,categories,description,key
家系ラーメン,,35.4630322,139.6150687,神奈川県,A,麺類,発祥店まで特定|発祥がわかる,家系ラーメン（いえけいラーメン）あるいは横浜家系ラーメン（よこはまいえけいラーメン）は、神奈川県横浜市のラーメン店・吉村家（1974年創業）を源流とするラーメン店の店舗群、あるいは吉村家に類似する濃厚な豚骨醤油ラーメンのジャンルを指す名称。（発祥店: 吉村家（神奈川県横浜市））(出典: ja.wikipedia「家系ラーメン」 https://ja.wikipedia.org/wiki/家系ラーメン),家系ラーメン
コリアンダー,,26.2122345,127.6791452,沖縄県,A,野菜・漬物,産地|都道府県まで|発祥は特定なし,コリアンダー（; 学名: ）は、セリ科コエンドロ属の一年草である。地中海沿岸原産で、日本には10世紀ごろに渡来した。（発祥地は沖縄県内。市区町村までは特定していないため、座標は県庁所在地に置いている）(出典: ja.wikipedia「コリアンダー」 https://ja.wikipedia.org/wiki/コリアンダー),コリアンダー
喜多方ラーメン,,37.6466979,139.8708359,福島県,A,麺類,発祥店まで特定|発祥がわかる,喜多方ラーメン（きたかたラーメン）は、福島県喜多方市発祥のご当地ラーメン（ご当地グルメ）。（発祥店: 源来軒（福島県喜多方市））(出典: ja.wikipedia「喜多方ラーメン」 https://ja.wikipedia.org/wiki/喜多方ラーメン),喜多方ラーメン
ひつまぶし,,35.1201512,136.9068897,愛知県,B,丼・ごはん,発祥店まで特定|郷土料理百選|発祥は特定なし,ひつまぶし（櫃まぶし）とは、ウナギの蒲焼を用いた日本の郷土料理である。（発祥店: あつた蓬莱軒（愛知県名古屋市））(出典: ja.wikipedia「ひつまぶし」 https://ja.wikipedia.org/wiki/ひつまぶし),ひつまぶし
冷やし中華,ひやしちゅうか,38.2677554,140.8691498,宮城県,B,麺類,市区町村まで特定|発祥がわかる,冷やし中華（ひやしちゅうか）は、茹でた中華麺を冷水で締めるなどして冷やしたものを使った日本の麺料理。（発祥地: 宮城県仙台市）(出典: ja.wikipedia「冷やし中華」 https://ja.wikipedia.org/wiki/冷やし中華),冷やし中華
ちゃん系ラーメン,,35.6917939,139.7709112,東京都,B,麺類,地点まで特定|市区町村まで特定|発祥がわかる,ちゃん系ラーメン（ちゃんけいラーメン）とは、東京都千代田区のラーメン店・神田ちえちゃんラーメン（2020年6月創業）を源流とするラーメン店舗群、及び「ちゃんのれん組合」に加盟しているラーメン店が提供しているラーメンのジャンルを指す名称。（発祥地: 東京都千代田区。座標は発祥店「神田ちえちゃんラーメン」のある神田に置いている）(出典: ja.wikipedia「ちゃん系ラーメン」 https://ja.wikipedia.org/wiki/ちゃん系ラーメン),ちゃん系ラーメン
タコライス,,26.4560814,127.9260347,沖縄県,B,丼・ごはん,市区町村まで特定|発祥がわかる,タコライス（英語：Taco Rice）は、タコスの具材を米飯の上に乗せた沖縄県の料理である。トマトベースのサルサ（スペイン語で「ソース」の意味）をかけて食べる。（発祥地: 沖縄県金武町）(出典: ja.wikipedia「タコライス」 https://ja.wikipedia.org/wiki/タコライス),タコライス
ジンギスカン,,43.0619360,141.3542924,北海道,B,汁物・鍋,都道府県まで|郷土料理百選|発祥は特定なし,ジンギスカン（成吉思汗）は、主にマトン（成羊肉）やラム（仔羊肉）などの羊肉を用いた日本の焼肉料理（広義には鹿肉や豚肉などを用いたジンギスカンもあり、それらを「鹿ジンギスカン」「豚ジンギスカン」等と呼称することがある）。（発祥地は北海道内。市区町村までは特定していないため、座標は県庁所在地に置いている）(出典: ja.wikipedia「ジンギスカン (料理)」 https://ja.wikipedia.org/wiki/ジンギスカン_%28料理%29),ジンギスカン (料理)
タラバガニ,,43.0619360,141.3542924,北海道,B,寿司,産地|都道府県まで|発祥は特定なし,タラバガニ（鱈場蟹、学名：、英語：）は、十脚目（エビ目） - 異尾下目（ヤドカリ下目） - タラバガニ科 - に属する甲殻類の一種。（発祥地は北海道内。市区町村までは特定していないため、座標は県庁所在地に置いている）(出典: ja.wikipedia「タラバガニ」 https://ja.wikipedia.org/wiki/タラバガニ),タラバガニ
冷や汁,ひやしる,31.9076334,131.4204022,宮崎県,B,汁物・鍋,都道府県まで|発祥は特定なし,冷や汁（ひやしる/ひやじる、冷汁とも）は、出汁と味噌で味を付けた、冷たい汁物料理。主に夏場に食べる。（発祥地は宮崎県の宮崎平野。市区町村までは特定していないため、座標は宮崎市に置いている）(出典: ja.wikipedia「冷や汁」 https://ja.wikipedia.org/wiki/冷や汁),冷や汁
