name,name_kana,region,lat,lng,rank,category,description
那覇新都心郵便局,,沖縄県,26.226808,127.692199,郵便局,郵便局,おもろまち2-5-33
小禄郵便局,,沖縄県,26.188756,127.660895,郵便局,郵便局,宇栄原3-32-27
小禄宇栄原郵便局,,沖縄県,26.187609,127.668782,郵便局,郵便局,宇栄原4-2-7
那覇東郵便局,,沖縄県,26.207172,127.694141,郵便局,郵便局,寄宮1-3-1
美栄橋郵便局,,沖縄県,26.214115,127.679642,郵便局,郵便局,久茂地1-1-1
那覇久茂地郵便局,,沖縄県,26.21992,127.683641,郵便局,郵便局,久茂地2-24-13
小禄鏡原郵便局,,沖縄県,26.197922,127.676477,郵便局,郵便局,鏡原町27-7
那覇空港内簡易郵便局,,沖縄県,26.20767,127.650839,郵便局,簡易郵便局,鏡水150
小禄金城郵便局,,沖縄県,26.197283,127.667478,郵便局,郵便局,金城5-2-8
古波蔵郵便局,,沖縄県,26.199839,127.686476,郵便局,郵便局,古波蔵2-14-41
那覇国場郵便局,,沖縄県,26.1957071179,127.700793451,郵便局,郵便局,国場360-1
那覇三原郵便局,,沖縄県,26.210172,127.700696,郵便局,郵便局,三原3-1-3
首里寒川郵便局,,沖縄県,26.216716,127.708786,郵便局,郵便局,首里寒川町2-63
首里山川郵便局,,沖縄県,26.220476,127.712667,郵便局,郵便局,首里山川町1-72
首里郵便局,,沖縄県,26.2246513304,127.72789284,郵便局,郵便局,首里石嶺町1-161
首里北郵便局,,沖縄県,26.2274353963,127.730094782,郵便局,郵便局,首里石嶺町2-111-4
首里汀良郵便局,,沖縄県,26.220199,127.727277,郵便局,郵便局,首里汀良町3-82-4
首里当蔵郵便局,,沖縄県,26.219504,127.720444,郵便局,郵便局,首里当蔵町2-11
首里大名郵便局,,沖縄県,26.2310824101,127.719811943,郵便局,郵便局,首里大名町3-55-5
首里末吉郵便局,,沖縄県,26.229586,127.707583,郵便局,郵便局,首里末吉町4-2-22
曙郵便局,,沖縄県,26.239723,127.681446,郵便局,郵便局,曙2-25-28
安謝郵便局,,沖縄県,26.241445,127.688584,郵便局,郵便局,曙3-3-1
小禄泉原郵便局,,沖縄県,26.190881,127.678482,郵便局,郵便局,小禄1240
小禄前原郵便局,,沖縄県,26.193256,127.672367,郵便局,郵便局,小禄700
那覇久米郵便局,,沖縄県,26.219558,127.675447,郵便局,郵便局,松山1-32-7
松川郵便局,,沖縄県,26.214643,127.70514,郵便局,郵便局,松川3-1-20
国際通り郵便局,,沖縄県,26.215612,127.68715,郵便局,郵便局,松尾2-8-13
那覇上間郵便局,,沖縄県,26.201895,127.708391,郵便局,郵便局,上間1-6-2
一日橋郵便局,,沖縄県,26.19959,127.714057,郵便局,郵便局,上間210-1
那覇東郵便局真嘉比分室,,沖縄県,26.223587,127.699556,郵便局,郵便局,真嘉比231-4
沖縄県庁内郵便局,,沖縄県,26.212559,127.680832,郵便局,郵便局,泉崎1-2-2
泊ふ頭郵便局,,沖縄県,26.223641,127.682308,郵便局,郵便局,前島3-25-5
大道郵便局,,沖縄県,26.217532,127.698946,郵便局,郵便局,大道115-5
那覇長田郵便局,,沖縄県,26.202978,127.701669,郵便局,郵便局,長田1-17-8
東町郵便局,,沖縄県,26.213337,127.67417,郵便局,郵便局,東町26-29
泊郵便局,,沖縄県,26.222086,127.687613,郵便局,郵便局,泊1-4-13
真和志郵便局,,沖縄県,26.210227,127.711223,郵便局,郵便局,繁多川5-17-6
開南郵便局,,沖縄県,26.210879,127.688848973,郵便局,郵便局,樋川2-1-31
牧志郵便局,,沖縄県,26.217337,127.691919,郵便局,郵便局,牧志3-13-19
与儀郵便局,,沖縄県,26.20195,127.695225,郵便局,郵便局,与儀368-19
那覇壺屋郵便局,,沖縄県,26.212414,127.695781,郵便局,郵便局,壺屋2-18-6
那覇中央郵便局,,沖縄県,26.205084,127.679526,郵便局,郵便局,壺川3-3-8
宜野湾郵便局,,沖縄県,26.269834,127.769272,郵便局,郵便局,愛知38-1
伊佐郵便局,,沖縄県,26.29011,127.754577,郵便局,郵便局,伊佐4-1-1
我如古郵便局,,沖縄県,26.2545405531,127.755147566,郵便局,郵便局,我如古3-5-2
宜野湾上原郵便局,,沖縄県,26.277306,127.777576,郵便局,郵便局,上原1-2-3
真栄原郵便局,,沖縄県,26.261473,127.742885,郵便局,郵便局,真栄原3-5-25
真志喜郵便局,,沖縄県,26.274527,127.73533,郵便局,郵便局,真志喜3-15-11
大山郵便局,,沖縄県,26.279999,127.748689,郵便局,郵便局,大山5-2-3
大謝名郵便局,,沖縄県,26.267195,127.735274,郵便局,郵便局,大謝名5-6-7
宜野湾長田郵便局,,沖縄県,26.262501,127.762078,郵便局,郵便局,長田1-27-1
普天間郵便局,,沖縄県,26.288611,127.777242,郵便局,郵便局,普天間2-5-5
伊原間郵便局,,沖縄県,24.508501,124.2824,郵便局,郵便局,伊原間26-9
石垣新栄郵便局,,沖縄県,24.346043,124.15012,郵便局,郵便局,新栄町50-16
真喜良郵便局,,沖縄県,24.355454,124.142921,郵便局,郵便局,新川2325-16
川平郵便局,,沖縄県,24.458509,124.140042,郵便局,郵便局,川平1033-70
八重山郵便局,,沖縄県,24.339043,124.158786,郵便局,郵便局,大川12
大浜郵便局,,沖縄県,24.3439743536,124.196880668,郵便局,郵便局,大浜70
石垣平真郵便局,,沖縄県,24.337848,124.171952,郵便局,郵便局,登野城635-2
白保郵便局,,沖縄県,24.354455,124.240506,郵便局,郵便局,白保67
浦添伊祖郵便局,,沖縄県,26.254806,127.720137,郵便局,郵便局,伊祖3-3-15
屋富祖郵便局,,沖縄県,26.248682,127.710503,郵便局,郵便局,屋富祖2-3-1
浦添宮城郵便局,,沖縄県,26.249473,127.703694,郵便局,郵便局,宮城1-32-3
浦添経塚郵便局,,沖縄県,26.237808,127.721915,郵便局,郵便局,経塚634-3
浦添城間郵便局,,沖縄県,26.257611,127.710054,郵便局,郵便局,城間3-6-9
浦添港川郵便局,,沖縄県,26.261361,127.717165,郵便局,郵便局,城間4-40-6
浦添勢理客郵便局,,沖縄県,26.24389,127.694334,郵便局,郵便局,勢理客2-13-7
浦添西原郵便局,,沖縄県,26.2558015133,127.740007261,郵便局,郵便局,西原2-1-1
浦添前田郵便局,,沖縄県,26.236922,127.735017,郵便局,郵便局,前田4-7-2
浦添郵便局,,沖縄県,26.244946,127.726942,郵便局,郵便局,仲間3-3-1
浦添内間郵便局,,沖縄県,26.236224,127.704444,郵便局,郵便局,内間2-11-19
浦添牧港郵便局,,沖縄県,26.265222,127.723526,郵便局,郵便局,牧港1-13-12
名護宇茂佐郵便局,,沖縄県,26.6021296522,127.965121797,郵便局,郵便局,宇茂佐の森5-1-1
屋部郵便局,,沖縄県,26.600975,127.952467,郵便局,郵便局,屋部48
済井出簡易郵便局,,沖縄県,26.675998,128.019127,郵便局,簡易郵便局,済井出1192
久志郵便局,,沖縄県,26.549261,128.052517,郵便局,郵便局,瀬嵩45
名護大中郵便局,,沖縄県,26.59056,127.98341,郵便局,郵便局,大中1-3-7
名護大北郵便局,,沖縄県,26.601782,127.99277,郵便局,郵便局,大北1-9-20
羽地郵便局,,沖縄県,26.62592,128.025517,郵便局,郵便局,仲尾次488
名護郵便局,,沖縄県,26.585422,127.98591,郵便局,郵便局,東江1-11-14
久辺郵便局,,沖縄県,26.521984,128.021437,郵便局,郵便局,豊原224-35
屋我地郵便局,,沖縄県,26.657278,128.011072,郵便局,郵便局,饒平名370-2
兼城郵便局,,沖縄県,26.146761,127.69234,郵便局,郵便局,賀数224
喜屋武郵便局,,沖縄県,26.092153,127.663037,郵便局,郵便局,喜屋武430-4
糸満新島郵便局,,沖縄県,26.129456,127.672841,郵便局,郵便局,糸満1366
糸満郵便局,,沖縄県,26.122234,127.670119,郵便局,郵便局,真栄里2016
三和郵便局,,沖縄県,26.104736,127.689396,郵便局,郵便局,真壁4-1
糸満西崎郵便局,,沖縄県,26.142122,127.670286,郵便局,郵便局,西崎6-5-1
高嶺郵便局,,沖縄県,26.127929,127.691923,郵便局,郵便局,大里247
潮平郵便局,,沖縄県,26.149538,127.672452,郵便局,郵便局,潮平771-2
米須簡易郵便局,,沖縄県,26.094904,127.697951,郵便局,簡易郵便局,米須211
越来郵便局,,沖縄県,26.342884,127.813487,郵便局,郵便局,越来1-1-43
諸見郵便局,,沖縄県,26.32608,127.793406,郵便局,郵便局,久保田1-1-25
沖縄郵便局,,沖縄県,26.33183,127.799183,郵便局,郵便局,胡屋4-2-16
泡瀬郵便局,,沖縄県,26.32366,127.82619,郵便局,郵便局,高原5-3-12
沖縄高原郵便局,,沖縄県,26.317772,127.824521,郵便局,郵便局,高原7-22-1
山里郵便局,,沖縄県,26.320664,127.785935,郵便局,郵便局,山内2-5-1
安慶田郵便局,,沖縄県,26.337829,127.806877,郵便局,郵便局,住吉1-8-14
松本郵便局,,沖縄県,26.352383,127.819848,郵便局,郵便局,松本969-3
沖縄照屋郵便局,,沖縄県,26.334718,127.81646,郵便局,郵便局,照屋2-17-5
知花郵便局,,沖縄県,26.361239,127.813591,郵便局,郵便局,知花6-1-22
沖縄パークアベニュー郵便局,,沖縄県,26.337968,127.801127,郵便局,郵便局,中央1-20-14
沖縄かりゆし郵便局,,沖縄県,26.366592,127.819299,郵便局,郵便局,登川1-2-7
沖縄美里郵便局,,沖縄県,26.3447376433,127.821498355,郵便局,郵便局,東1-25-8
座安郵便局,,沖縄県,26.16462,127.66773,郵便局,郵便局,座安338-3
豊見城郵便局,,沖縄県,26.175592,127.684757,郵便局,郵便局,上田531-1
真玉橋郵便局,,沖縄県,26.1903763758,127.690946537,郵便局,郵便局,真玉橋278
豊見城団地内郵便局,,沖縄県,26.167927,127.696867,郵便局,郵便局,平良158-11
安慶名郵便局,,沖縄県,26.3739373661,127.856024059,郵便局,郵便局,田場2072
東具志川郵便局,,沖縄県,26.356051,127.86976,郵便局,郵便局,具志川137
志林川郵便局,,沖縄県,26.357644,127.837086,郵便局,郵便局,高江洲978-1
津堅簡易郵便局,,沖縄県,26.247258,127.938314,郵便局,簡易郵便局,勝連津堅1229
与勝郵便局,,沖縄県,26.334026,127.883591,郵便局,郵便局,勝連南風原4064
勝連郵便局,,沖縄県,26.316306,127.896617,郵便局,郵便局,勝連平安名2925-2
石川城前郵便局,,沖縄県,26.424876,127.823679,郵便局,郵便局,石川412
