name,name_kana,lat,lng,region,series,categories,description,key
那覇新都心郵便局,,26.226808,127.692199,沖縄県,郵便局,普通,おもろまち2-5-33,那覇新都心郵便局
小禄郵便局,,26.188756,127.660895,沖縄県,郵便局,普通,宇栄原3-32-27,小禄郵便局
小禄宇栄原郵便局,,26.187609,127.668782,沖縄県,郵便局,普通,宇栄原4-2-7,小禄宇栄原郵便局
那覇東郵便局,,26.207172,127.694141,沖縄県,郵便局,普通,寄宮1-3-1,那覇東郵便局
美栄橋郵便局,,26.214115,127.679642,沖縄県,郵便局,普通,久茂地1-1-1,美栄橋郵便局
那覇久茂地郵便局,,26.21992,127.683641,沖縄県,郵便局,普通,久茂地2-24-13,那覇久茂地郵便局
小禄鏡原郵便局,,26.197922,127.676477,沖縄県,郵便局,普通,鏡原町27-7,小禄鏡原郵便局
那覇空港内簡易郵便局,,26.20767,127.650839,沖縄県,郵便局,簡易,鏡水150,那覇空港内簡易郵便局
小禄金城郵便局,,26.197283,127.667478,沖縄県,郵便局,普通,金城5-2-8,小禄金城郵便局
古波蔵郵便局,,26.199839,127.686476,沖縄県,郵便局,普通,古波蔵2-14-41,古波蔵郵便局
那覇国場郵便局,,26.1957071179,127.700793451,沖縄県,郵便局,普通,国場360-1,那覇国場郵便局
那覇三原郵便局,,26.210172,127.700696,沖縄県,郵便局,普通,三原3-1-3,那覇三原郵便局
首里寒川郵便局,,26.216716,127.708786,沖縄県,郵便局,普通,首里寒川町2-63,首里寒川郵便局
首里山川郵便局,,26.220476,127.712667,沖縄県,郵便局,普通,首里山川町1-72,首里山川郵便局
首里郵便局,,26.2246513304,127.72789284,沖縄県,郵便局,普通,首里石嶺町1-161,首里郵便局
首里北郵便局,,26.2274353963,127.730094782,沖縄県,郵便局,普通,首里石嶺町2-111-4,首里北郵便局
首里汀良郵便局,,26.220199,127.727277,沖縄県,郵便局,普通,首里汀良町3-82-4,首里汀良郵便局
首里当蔵郵便局,,26.219504,127.720444,沖縄県,郵便局,普通,首里当蔵町2-11,首里当蔵郵便局
首里大名郵便局,,26.2310824101,127.719811943,沖縄県,郵便局,普通,首里大名町3-55-5,首里大名郵便局
首里末吉郵便局,,26.229586,127.707583,沖縄県,郵便局,普通,首里末吉町4-2-22,首里末吉郵便局
曙郵便局,,26.239723,127.681446,沖縄県,郵便局,普通,曙2-25-28,曙郵便局
安謝郵便局,,26.241445,127.688584,沖縄県,郵便局,普通,曙3-3-1,安謝郵便局
小禄泉原郵便局,,26.190881,127.678482,沖縄県,郵便局,普通,小禄1240,小禄泉原郵便局
小禄前原郵便局,,26.193256,127.672367,沖縄県,郵便局,普通,小禄700,小禄前原郵便局
那覇久米郵便局,,26.219558,127.675447,沖縄県,郵便局,普通,松山1-32-7,那覇久米郵便局
松川郵便局,,26.214643,127.70514,沖縄県,郵便局,普通,松川3-1-20,松川郵便局
国際通り郵便局,,26.215612,127.68715,沖縄県,郵便局,普通,松尾2-8-13,国際通り郵便局
那覇上間郵便局,,26.201895,127.708391,沖縄県,郵便局,普通,上間1-6-2,那覇上間郵便局
一日橋郵便局,,26.19959,127.714057,沖縄県,郵便局,普通,上間210-1,一日橋郵便局
那覇東郵便局真嘉比分室,,26.223587,127.699556,沖縄県,郵便局,普通,真嘉比231-4,那覇東郵便局真嘉比分室
沖縄県庁内郵便局,,26.212559,127.680832,沖縄県,郵便局,普通,泉崎1-2-2,沖縄県庁内郵便局
泊ふ頭郵便局,,26.223641,127.682308,沖縄県,郵便局,普通,前島3-25-5,泊ふ頭郵便局
大道郵便局,,26.217532,127.698946,沖縄県,郵便局,普通,大道115-5,大道郵便局
