route,series,seq,spot_key,description,leg_description
サイコロ1,サイコロ1,1,六本木プリンスホテル,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,深夜バスに乗るため新宿へ
サイコロ1,サイコロ1,2,新宿高速バスターミナル,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,深夜バス「オレンジライナー」で松山・道後温泉へ
サイコロ1,サイコロ1,3,道後温泉,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,伊予鉄道の市内電車で松山駅へ
サイコロ1,サイコロ1,4,松山駅,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,特急「宇和海」で八幡浜へ
サイコロ1,サイコロ1,5,八幡浜港,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,宇和島運輸フェリーで臼杵港へ
サイコロ1,サイコロ1,6,臼杵港,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,特急で小倉へ
サイコロ1,サイコロ1,7,小倉駅,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,山陽新幹線で新大阪へ
サイコロ1,サイコロ1,8,新大阪駅,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,寝台急行「きたぐに」で新潟へ
サイコロ1,サイコロ1,9,新潟駅,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,新潟港へ移動
サイコロ1,サイコロ1,10,新潟港,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,新日本海フェリーで小樽港へ
サイコロ1,サイコロ1,11,小樽港,サイコロの出目だけで行き先を決める「サイコロの旅」第1弾。東京・六本木を起点に公共交通を乗り継ぎ、フェリーで小樽へ帰り着いた。,
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,1,六本木プリンスホテル,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,東京駅へ移動
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,2,東京駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,新幹線グリーン車で新神戸へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,3,新神戸駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,三宮へ移動
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,4,三ノ宮駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,深夜バス「レッツ号」で熊本へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,5,熊本駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,特急「あそ」で三重町へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,6,三重町駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,タクシーで佐伯港へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,7,佐伯港,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,宿毛フェリーで宿毛港へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,8,宿毛港,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,レンタカーで中村へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,9,中村駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,レンタカーで高知駅へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,10,高知駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,深夜バス「はりまや号」で九州へ(壇ノ浦PAで休憩)
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,11,壇之浦パーキングエリア,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,深夜バス「はりまや号」で博多へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,12,博多駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,山陽新幹線で福山へ
サイコロ2〜西日本完全制覇〜,サイコロ2〜西日本完全制覇〜,13,福山駅,サイコロの旅第2弾。出目に翻弄されながら西日本各地を転々とし、和歌山港で幕を閉じた。,在来線で笠岡へ
