name,name_kana,lat,lng,region,series,categories,description,key
六本木プリンスホテル,,35.6624568,139.7334981,東京都,サイコロ1,サイコロ,「サイコロ1」でアン・ルイスのインタビュー収録を行った、旅の出発地となったホテル(2006年閉館)。「サイコロ2〜西日本完全制覇〜」でも西城秀樹との対談という名目で大泉洋が呼び出され、ここから旅が始まっている。座標は六本木で代用。,六本木プリンスホテル
新宿高速バスターミナル,,35.6908564,139.6986518,東京都,サイコロ1,サイコロ,新宿駅西口にあった高速バスの発着ターミナル(2016年開業のバスタ新宿とは別の施設)。「サイコロ1」で深夜バスに乗るため訪れた発着地。「サイコロ3」後編(大泉洋拉致後に降り立った地点)・「サイコロ5」・「5周年記念特別企画 札幌〜博多 3夜連続深夜バスだけの旅」でも深夜バスの発着地として登場する。,新宿高速バスターミナル
道後温泉,,33.8507508,132.7852794,愛媛県,サイコロ1,サイコロ,最初の目的地として立ち寄った道後温泉・松山エリアと思われる。,道後温泉
松山駅,,33.8417218,132.7517134,愛媛県,サイコロ1,サイコロ,松山駅で特急宇和海に乗り換えた経由駅と思われる。,松山駅
八幡浜港,,33.4584579,132.4147345,愛媛県,サイコロ1,サイコロ,宇和島運輸フェリーで臼杵へ向かった乗船地と思われる。,八幡浜港
臼杵港,,33.1264865,131.8105296,大分県,サイコロ1,サイコロ,フェリーで到着し、サイコロを蹴り飛ばす「大泉さん謀反」の舞台になった地点と推定される。,臼杵港
小倉駅,,33.8883365,130.8823543,福岡県,サイコロ1,サイコロ,山陽新幹線に乗り換えた経由駅と思われる。,小倉駅
新大阪駅,,34.7334854,135.4978876,大阪府,サイコロ1,サイコロ,寝台急行きたぐにに乗り換えた経由駅と思われる(「サイコロ1」)。「サイコロ4」(特急「サンダーバード」で富山へ)・「サイコロ5」(新幹線で東京へ)・「サイコロ6」(新幹線で新尾道へ)でも乗り換えの経由駅として登場する。,新大阪駅
新潟駅,,37.9129695,139.0602251,新潟県,サイコロ1,サイコロ,寝台急行きたぐにで到着し、新潟港へ向かった経由駅と思われる。,新潟駅
新潟港,,37.9324973,139.064987,新潟県,サイコロ1,サイコロ,小樽港行きフェリーに乗船した港と推定される。,新潟港
小樽港,,43.1990757,141.0160875,北海道,サイコロ1,サイコロ,サイコロ1のゴール地点と推定される。,小樽港
東京駅,,35.6811333,139.7659796,東京都,サイコロ2〜西日本完全制覇〜,サイコロ,「サイコロ2」で六本木から移動し新幹線グリーン車に乗り換えた経由駅と推定される。「サイコロ3」後編・「サイコロ4」(実質ゴール扱い)・「サイコロ5」・「ゴールデンスペシャルサイコロ6」でも経由駅として登場する。,東京駅
新神戸駅,,34.7067867,135.1964643,兵庫県,サイコロ2〜西日本完全制覇〜,サイコロ,グリーン車に乗って移動した先の経由駅と思われる(「サイコロ2」、この後三宮へ)。「サイコロ3」(この後神戸ヘリポートへ移動)でも経由地として登場する。,新神戸駅
三ノ宮駅,,34.6960708,135.1943803,兵庫県,サイコロ2〜西日本完全制覇〜,サイコロ,深夜バス「レッツ号」に乗車した三宮エリアと推定される。,三ノ宮駅
熊本駅,,32.7915678,130.6903106,熊本県,サイコロ2〜西日本完全制覇〜,サイコロ,熊本交通センター下車後の移動経由地と推定される。,熊本駅
三重町駅,,32.978407,131.58089,大分県,サイコロ2〜西日本完全制覇〜,サイコロ,特急あそ号を急遽下車しタクシーで佐伯港へ向かった地点と推定される（現在の三重町エリア）。,三重町駅
佐伯港,,32.9601732,131.8996704,大分県,サイコロ2〜西日本完全制覇〜,サイコロ,フェリーで宿毛港へ向かった乗船地と推定される（座標は佐伯市中心部で代用）。,佐伯港
宿毛港,,32.9211613,132.6966074,高知県,サイコロ2〜西日本完全制覇〜,サイコロ,フェリーで到着した港と思われる。,宿毛港
中村駅,,32.984168,132.942185,高知県,サイコロ2〜西日本完全制覇〜,サイコロ,レンタカーで高知駅へ向かった土佐中村エリアの経由地と推定される。,中村駅
高知駅,,33.568197,133.5433379,高知県,サイコロ2〜西日本完全制覇〜,サイコロ,深夜バス「はりまや号」に乗車した経由駅と思われる(「サイコロ2」)。「サイコロ6」(深夜バス「よさこい号」で大阪・梅田へ)でも経由地として登場する。,高知駅
壇之浦パーキングエリア,,33.9628194,130.9531887,山口県,サイコロ2〜西日本完全制覇〜,サイコロ,「はりまや号」の休憩地点で、伝説の「壇ノ浦レポート」が撮影された地点と推定される。,壇之浦パーキングエリア
博多駅,,33.5861574,130.4177745,福岡県,サイコロ2〜西日本完全制覇〜,サイコロ,深夜バス「はりまや号」で到着した経由駅と思われる(「サイコロ2」、この後山陽新幹線で福山へ)。「サイコロ3」(特急「ハウステンボス」でハウステンボスへ)・「サイコロ4」(旅の終了地点)・「サイコロ5」(特急「つばめ」で西鹿児島へ)・「サイコロ6」(新幹線で新大阪へ)でも経由地として登場する。,博多駅
福山駅,,34.488241,133.3629865,広島県,サイコロ2〜西日本完全制覇〜,サイコロ,新幹線を乗り換え笠岡へ向かった経由駅と思われる。,福山駅
笠岡駅,,34.5053947,133.5042165,岡山県,サイコロ2〜西日本完全制覇〜,サイコロ,高速船で白石島へ向かった乗り継ぎ駅と推定される。,笠岡駅
白石島,,34.4057696,133.5149895,岡山県,サイコロ2〜西日本完全制覇〜,サイコロ,サイコロの目で訪れた笠岡諸島の島と推定される。,白石島
岡山駅,,34.6656902,133.9186326,岡山県,サイコロ2〜西日本完全制覇〜,サイコロ,高松へ向かう特急うずしお号に乗り換えた経由駅と思われる(「サイコロ2」)。「サイコロ3」(新幹線で西明石へ)・「サイコロ4」(新幹線で広島へ)でも経由地として登場する。,岡山駅
高松駅,,34.3516732,134.0473055,香川県,サイコロ2〜西日本完全制覇〜,サイコロ,特急うずしお号で到着した経由駅と思われる(「サイコロ2」)。「サイコロ3」(快速「マリンライナー」で岡山へ)でも経由地として登場する。,高松駅
