route,series,seq,spot_key,description,leg_description
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",1,ダーウィン,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",2,ベリー・スプリングス,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",3,テリトリー・ワイルドライフ・パーク,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",4,キャサリン,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",5,デビルズマーブルズ,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",6,アリススプリングス,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",7,エアーズロック,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",8,クーバーペディ,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",9,ポートオーガスタ,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
"オーストラリア大陸縦断3,700キロ","オーストラリア大陸縦断3,700キロ",10,アデレード駅,レンタカーでオーストラリア大陸を北端のダーウィンから南のアデレードまで縦断した企画。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,1,金浦国際空港,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,2,蔚山,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,3,東萊温泉,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,4,梨花女子大学校,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,5,全州,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,6,麗水,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
韓国食い道楽サイコロの旅,韓国食い道楽サイコロの旅,7,済州島,サイコロの旅の韓国版。出目に従って韓国各地を移動しながら名物料理を食べ歩いた。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,1,凱旋門,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,2,カレー,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,3,フォークストン,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,4,イースト・グリンステッド,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,5,コッツウォルズ,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,6,ブローニュ=シュル=メール,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,7,ブルージュ,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,8,アーヘン,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,9,ケルン大聖堂,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,10,ルクセンブルク市,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,11,ハイデルベルク城,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,12,ネルトリンゲン,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,13,フュッセン,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,14,チロル,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,15,ファドゥーツ城,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,16,マイエンフェルト,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,17,フルカ峠,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,18,ザースフェー,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,19,サヴォーナ,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,20,エクス=アン=プロヴァンス,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,21,ペルピニャン,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,22,ブール=マダム,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
ヨーロッパ21ヵ国完全制覇,ヨーロッパ21ヵ国完全制覇,23,ポワティエ,レンタカーでヨーロッパ21か国の完全制覇を目指した企画。パリの凱旋門を起点に各国を巡った。,
マレーシアジャングル探検,マレーシアジャングル探検,1,クアラルンプール,マレーシアの熱帯雨林を探検し、洞窟グア・テリンガを目指した企画。,
マレーシアジャングル探検,マレーシアジャングル探検,2,クアラ・テンベリン,マレーシアの熱帯雨林を探検し、洞窟グア・テリンガを目指した企画。,
