key,effort,rule,evidence
DCTgarden IKEDA,じっくり,osm_feature,tourism=museum
JRタワー,じっくり,name_heavy,タワー
あさひかわ北彩都ガーデン,,default,手がかり無し
いわみざわ公園,,name_light,公園
うらかわ優駿ビレッジAERU,,default,手がかり無し
えこりん村,じっくり,wikipedia_fee,料金の記述あり
おたる水族館,じっくり,name_heavy,水族館
おびひろ動物園,じっくり,name_heavy,動物園
かかし古里館,じっくり,category,美術館博物館
かみゆうべつチューリップ公園,じっくり,wikipedia_fee,料金の記述あり
くるるの杜,,default,手がかり無し
さっぽろばんけいスキー場,じっくり,name_heavy,スキー場
さっぽろテレビ塔,,default,手がかり無し
さっぽろ羊ヶ丘展望台,じっくり,wikipedia_fee,料金の記述あり
しょさんべつ天文台,,default,手がかり無し
すすきの,,default,手がかり無し
ぬかびら温泉,じっくり,name_heavy,温泉
ぬかびら源泉郷スキー場,じっくり,name_heavy,スキー場
のぼりべつクマ牧場,じっくり,name_heavy,牧場
はこだて明治館,,default,手がかり無し
はこだて自由市場,,default,手がかり無し
ひがしかぐら森林公園,,name_light,公園
ひがし大雪自然館,じっくり,category,美術館博物館
ひまわりの里,,default,手がかり無し
ぴっぷスキー場,じっくり,name_heavy,スキー場
ふきだし公園,,name_light,公園
ふるさと公園 (新十津川町),,name_light,公園 
ふるさと銀河線りくべつ鉄道,,default,手がかり無し
ほろしん温泉,じっくり,name_heavy,温泉
まなぼっと幣舞,,default,手がかり無し
アトサヌプリ,,osm_feature,natural=peak
アポイ岳,じっくり,name_heavy,岳
ウトナイ湖,,default,手がかり無し
ウポポイ,じっくり,osm_feature,tourism=museum
エスコンフィールドHOKKAIDO,,default,手がかり無し
エドウィン・ダン記念館,じっくり,name_heavy,記念館
エンルム岬,,name_light,岬
オコタンペ湖,,osm_feature,natural=water
オシンコシンの滝,,name_light,滝
オニウシ公園,,name_light,公園
オホーツクとっかりセンター,じっくり,wikipedia_fee,料金の記述あり
オホーツク流氷館,じっくり,category,美術館博物館
オヤコツ,,default,手がかり無し
オロフレ峠,,default,手がかり無し
オンネトー,,osm_feature,natural=water
カトリック元町教会,,default,手がかり無し
カナディアンワールド,じっくり,name_heavy,ワールド
カムイスキーリンクス,,default,手がかり無し
カムイト沼,,osm_feature,natural=water
カムイワッカ湯の滝,,name_light,滝
カルルス温泉,じっくり,name_heavy,温泉
カルルス温泉サンライバスキー場,じっくり,name_heavy,温泉
キウス周堤墓群,,default,手がかり無し
キタカラ,,default,手がかり無し
キャンモアスキービレッジ,,default,手がかり無し
キロロスノーワールド,じっくり,name_heavy,ワールド
キロロリゾート,,default,手がかり無し
クッチャロ湖,,default,手がかり無し
ケンとメリーの木,,default,手がかり無し
サケのふるさと 千歳水族館,じっくり,name_heavy,水族館
サッポロさとらんど,,osm_feature,leisure=park
サッポロガーデンパーク,,default,手がかり無し
サッポロテイネ,,default,手がかり無し
サッポロビール博物館,じっくり,name_heavy,博物館
サッポロファクトリー,,default,手がかり無し
サホロリゾート,じっくり,osm_feature,tourism=hotel
サホロリゾート ベア・マウンテン,,default,手がかり無し
サラキ岬,,name_light,岬
サロベツ原野,,default,手がかり無し
サロマ湖,,default,手がかり無し
スコトン岬,,name_light,岬
スノークルーズ・オーンズ,,default,手がかり無し
タウシュベツ川橋梁,,name_light,橋梁
ダイナスティスキーリゾート,,default,手がかり無し
チキウ岬,,name_light,岬
チミケップ湖,,default,手がかり無し
トッカリショ,,osm_feature,tourism=viewpoint
トドワラ,,osm_feature,tourism=viewpoint
トムラウシ温泉,じっくり,name_heavy,温泉
トラピスト修道院,,default,手がかり無し
トロッコ王国美深,,default,手がかり無し
ナウマン温泉,じっくり,name_heavy,温泉
ニセコHANAZONOリゾート,,default,手がかり無し
ニセコアンヌプリ,,osm_feature,natural=peak
ニセコアンヌプリ国際スキー場,じっくり,name_heavy,スキー場
ニセコビレッジ,,default,手がかり無し
ニセコ東急 グラン・ヒラフ,,default,手がかり無し
ニセコ温泉郷,じっくり,name_heavy,温泉
ニセコ積丹小樽海岸国定公園,,name_light,公園
ノーザンホースパーク,じっくり,name_heavy,スパ
パンケ沼,,default,手がかり無し
ピヤシリ山,じっくり,name_heavy,山
ピョウタンの滝,,name_light,滝
ファーム富田,,default,手がかり無し
フラノマルシェ,,default,手がかり無し
フレペの滝,,name_light,滝
ペシ岬,,name_light,岬
マイルドセブンの丘,,default,手がかり無し
マウントレースイ,じっくり,osm_feature,tourism=hotel
マクンベツ湿原,じっくり,name_heavy,湿原
マスイチ浜,,default,手がかり無し
メルヘンの丘,,default,手がかり無し
メルヘン交差点,,default,手がかり無し
モエレ沼公園,,name_light,公園
モヨロ貝塚,,name_light,貝塚
ルスツリゾート,じっくり,osm_feature,tourism=theme_park
レンガの館,,default,手がかり無し
ローズガーデンちっぷべつ,,osm_feature,leisure=park
ローソク岩,,default,手がかり無し
ワッカ原生花園,,default,手がかり無し
三井アウトレットパーク 札幌北広島,,default,手がかり無し
三国峠 (北海道),,default,手がかり無し
三段滝 (北海道),,default,手がかり無し
三浦綾子記念文学館,じっくり,name_heavy,文学館
三笠市立博物館,じっくり,name_heavy,博物館
三笠鉄道記念館,じっくり,name_heavy,記念館
三階滝 (北海道),,default,手がかり無し
三頭山 (北海道),,osm_feature,natural=peak
上川神社,,default,手がかり無し
上砂川駅,,name_light,駅
上野ファーム,,default,手がかり無し
中原悌二郎記念旭川市彫刻美術館,じっくり,name_heavy,美術館
中山峠 (国道230号),,default,手がかり無し
中島公園,,name_light,公園
中川町エコミュージアムセンター,じっくり,name_heavy,ミュージアム
中札内美術村,じっくり,osm_feature,tourism=museum
中標津空港,,name_light,港
中頓別鍾乳洞,じっくり,name_heavy,鍾乳洞
丸瀬布森林公園いこいの森,じっくり,wikipedia_fee,料金の記述あり
丸瀬布温泉,じっくり,name_heavy,温泉
丸駒温泉,じっくり,name_heavy,温泉
久種湖,,osm_feature,natural=water
九度山,じっくり,name_heavy,山
亀田八幡宮,,default,手がかり無し
二条市場,,default,手がかり無し
二股ラヂウム温泉,じっくり,name_heavy,温泉
二風谷アイヌ文化博物館,じっくり,name_heavy,博物館
五稜郭,じっくり,category,城
五稜郭タワー,じっくり,name_heavy,タワー
井上靖記念館,じっくり,name_heavy,記念館
伊達温泉,じっくり,name_heavy,温泉
余市蒸溜所,,default,手がかり無し
倶多楽湖,,default,手がかり無し
元和台海浜公園,,name_light,公園
元町公園,,name_light,公園
光善寺 (北海道松前町),,default,手がかり無し
入江・高砂貝塚,,name_light,貝塚
八雲町郷土資料館,じっくり,name_heavy,資料館
六花の森,じっくり,osm_feature,tourism=museum
円山 (札幌市),,default,手がかり無し
円山公園 (札幌市),,name_light,公園 
函館ハリストス正教会,,default,手がかり無し
函館七飯スノーパーク,,default,手がかり無し
函館八幡宮,,default,手がかり無し
函館公園,,name_light,公園
函館山,じっくり,name_heavy,山
函館山ロープウェイ,,default,手がかり無し
