name,name_kana,lat,lng,region,rank,series,categories,description,key
DCTgarden IKEDA,,42.9183333,143.4566667,北海道,D,博物館他,,DCTgarden IKEDA（ディーシーティーガーデン イケダ）は、北海道中川郡池田町にあるDREAMS COME TRUE・吉田美和に関する施設。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),DCTgarden IKEDA
JRタワー,,43.0686111,141.3519444,北海道,B,建造物,,JRタワー（ジェイアールタワー、JR TOWER）は、北海道札幌市中央区に所在する札幌駅の駅ビル型超高層複合商業ビル。日本の夜景100選。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),JRタワー
あさひかわ北彩都ガーデン,,43.8083333,142.4858333,北海道,E,公園,,あさひかわ北彩都ガーデン（あさひかわきたさいとガーデン）は、北海道旭川市にある観光庭園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),あさひかわ北彩都ガーデン
いわみざわ公園,いわみざわこうえん,43.1647222,141.7855556,北海道,D,公園,,いわみざわ公園（いわみざわこうえん）は、北海道岩見沢市にある公園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),いわみざわ公園
うらかわ優駿ビレッジAERU,,42.19175,142.8480556,北海道,C,公園,,うらかわ優駿ビレッジAERU（うらかわゆうしゅんビレッジアエル）は、北海道浦河郡浦河町にある総合保養施設で、「うらかわ優駿の里公園」内に立地する。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),うらかわ優駿ビレッジAERU
えこりん村,えこりんむら,42.8722222,141.5472222,北海道,C,レジャー施設,,えこりん村（えこりんむら）は、北海道恵庭市にあるテーマパーク。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),えこりん村
おたる水族館,,43.2368056,141.01125,北海道,C,博物館他,,おたる水族館（おたるすいぞくかん英：OTARU AQUARIUM）は、小樽水族館公社が北海道小樽市で運営する水族館。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),おたる水族館
おびひろ動物園,おびひろどうぶつえん,42.9020833,143.1846389,北海道,C,博物館他,,おびひろ動物園（おびひろどうぶつえん）は、北海道帯広市にある動物園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),おびひろ動物園
かかし古里館,かかしふるさとかん,42.9801639,140.6055167,北海道,E,博物館他,,かかし古里館（かかしふるさとかん）は、北海道岩内郡共和町にある共和町立の歴史博物館。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),かかし古里館
かみゆうべつチューリップ公園,,44.1592778,143.5787778,北海道,E,公園,,かみゆうべつチューリップ公園（かみゆうべつチューリップこうえん、英語：Kamiyubetsu Tulip Park）は、北海道紋別郡湧別町にある都市公園である。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),かみゆうべつチューリップ公園
くるるの杜,くるるのもり,42.9788889,141.4916667,北海道,D,レジャー施設,,くるるの杜（くるるのもり）は、北海道北広島市にある複合施設。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),くるるの杜
さっぽろばんけいスキー場,,43.0305556,141.2780556,北海道,D,レジャー施設,,さっぽろばんけいスキー場は、北海道札幌市中央区にあるスキー場。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),さっぽろばんけいスキー場
さっぽろテレビ塔,,43.0610917,141.3564333,北海道,B,建造物,,さっぽろテレビ塔（さっぽろテレビとう）は北海道札幌市中央区大通西1丁目の大通公園内にある展望塔である。登録有形文化財。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),さっぽろテレビ塔
さっぽろ羊ヶ丘展望台,さっぽろひつじがおかてんぼうだい,42.9991667,141.3948333,北海道,C,レジャー施設,,さっぽろ羊ヶ丘展望台（さっぽろひつじがおかてんぼうだい、略称: 「羊ヶ丘展望台」）は、北海道札幌市豊平区羊ケ丘にある北海道内でも屈指の観光名所である。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),さっぽろ羊ヶ丘展望台
しょさんべつ天文台,しょさんべつてんもんだい,44.5625833,141.7743056,北海道,D,博物館他,,しょさんべつ天文台（しょさんべつてんもんだい）は日本の北海道苫前郡初山別村にある天文台。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),しょさんべつ天文台
すすきの,,43.054904,141.353383,北海道,B,街並み,,すすきの（ススキノ、薄野）は、北海道札幌市中央区にある、すすきの交差点を中心とした歓楽街・繁華街。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),すすきの
ぬかびら温泉,,43.3654444,143.1894444,北海道,C,温泉,,ぬかびら温泉（ - おんせん）は、北海道河東郡上士幌町にある温泉。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ぬかびら温泉
ぬかびら源泉郷スキー場,,43.3613889,143.1872222,北海道,D,レジャー施設,,ぬかびら源泉郷スキー場（ぬかびらげんせんきょうスキーじょう）は、北海道河東郡上士幌町にあるスキー場。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ぬかびら源泉郷スキー場
のぼりべつクマ牧場,のぼりべつくまぼくじょう,42.4901667,141.15925,北海道,B,博物館他,,のぼりべつクマ牧場（のぼりべつくまぼくじょう）は、北海道登別市登別温泉町にあるクマを主に取り扱う動物園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),のぼりべつクマ牧場
はこだて明治館,はこだてめいじかん,41.7665956,140.7188844,北海道,D,商業施設,,はこだて明治館（はこだてめいじかん）は、北海道函館市豊川町にある魚長食品の関連会社のまるかつグループが運営している複合商業施設である。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),はこだて明治館
はこだて自由市場,はこだてじゆういちば,41.7732211,140.7343569,北海道,E,商業施設,,はこだて自由市場（はこだてじゆういちば）は、北海道函館市新川町にある市場。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),はこだて自由市場
ひがしかぐら森林公園,ひがしかぐらしんりんこうえん,43.6711111,142.5408333,北海道,E,公園,,ひがしかぐら森林公園（ひがしかぐらしんりんこうえん）は、北海道上川郡東神楽町にある公園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ひがしかぐら森林公園
ひがし大雪自然館,,43.3658611,143.1933333,北海道,E,博物館他,,ひがし大雪自然館(ひがしたいせつしぜんかん)は、北海道河東郡上士幌町にある、上士幌町ひがし大雪博物資料館と環境省ぬかびら源泉郷ビジターセンターからなる連携施設。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ひがし大雪自然館
ひまわりの里,ひまわりのさと,43.740833,141.872611,北海道,D,公園,,ひまわりの里（ひまわりのさと）は、北海道雨竜郡北竜町にある観光名所。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ひまわりの里
ぴっぷスキー場,,43.9333333,142.5,北海道,E,レジャー施設,,ぴっぷスキー場（ぴっぷスキーじょう）は、北海道上川郡比布町にあるスキー場である。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ぴっぷスキー場
ふきだし公園,ふきだしこうえん,42.8583333,140.8705556,北海道,C,公園,,ふきだし公園（ふきだしこうえん）は、北海道虻田郡京極町字川西にある公園である。名水百選。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ふきだし公園
ふるさと公園 (新十津川町),,43.5338889,141.8466667,北海道,E,公園,,ふるさと公園（ふるさとこうえん）は、北海道樺戸郡新十津川町にある公園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ふるさと公園 (新十津川町)
ふるさと銀河線りくべつ鉄道,ふるさとぎんがせんりくべつてつどう,43.4678889,143.7416667,北海道,C,博物館他,,ふるさと銀河線りくべつ鉄道（ふるさとぎんがせんりくべつてつどう）は、北海道足寄郡陸別町にある鉄道保存展示施設である。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ふるさと銀河線りくべつ鉄道
ほろしん温泉,ほろしんおんせん,43.8869669,141.9238563,北海道,E,温泉,,ほろしん温泉（ほろしんおんせん）は、北海道雨竜郡沼田町幌新にある温泉。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ほろしん温泉
まなぼっと幣舞,,42.9780556,144.3859722,北海道,D,建造物,,釧路市生涯学習センター（くしろししょうがいがくしゅうセンター）、愛称「まなぼっと幣舞」（まなぼっとぬさまい）は、北海道釧路市幣舞（ぬさまい）町4番28号に位置する複合公共施設。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),まなぼっと幣舞
アトサヌプリ,,43.6102778,144.4386111,北海道,C,山,,アトサヌプリは、北海道弟子屈町にある第四紀火山である。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),アトサヌプリ
アポイ岳,,42.1077778,143.0255556,北海道,C,山,,アポイ岳（アポイだけ）は、北海道様似郡様似町にある標高810.5 mの山である。特別天然記念物・日本の地質百選・花の百名山。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),アポイ岳
ウトナイ湖,,42.6988889,141.7111111,北海道,C,自然,,ウトナイ湖（ウトナイこ）は、北海道苫小牧市の東部にある淡水湖。ラムサール条約登録湿地。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ウトナイ湖
ウポポイ,,42.5602778,141.3655278,北海道,B,博物館他,,ウポポイ（Upopoy）は、北海道白老郡白老町にある「民族共生象徴空間」の愛称。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),ウポポイ
エスコンフィールドHOKKAIDO,,42.9897222,141.5494444,北海道,A,レジャー施設,,エスコンフィールドHOKKAIDO（エスコンフィールドほっかいどう）は、北海道北広島市Fビレッジにある開閉式屋根付き野球場。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),エスコンフィールドHOKKAIDO
エドウィン・ダン記念館,,42.9888889,141.3522222,北海道,D,博物館他,,エドウィン・ダン記念館（エドウィン・ダンきねんかん）は、明治時代のお雇い外国人、エドウィン・ダンを記念し紹介する施設で、北海道札幌市南区真駒内泉町のエドウィン・ダン記念公園内にある。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),エドウィン・ダン記念館
エンルム岬,,42.1202778,142.9213889,北海道,D,自然,,エンルム岬（エンルムみさき）は、北海道様似郡様似町にある岬。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),エンルム岬
オコタンペ湖,,42.8002778,141.2572222,北海道,C,自然,,オコタンペ湖（オコタンペこ）は、北海道千歳市西部にある小さな湖で、支笏湖の北西7kmほどに位置している。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),オコタンペ湖
オシンコシンの滝,,44.0381944,144.9353611,北海道,C,自然,,オシンコシンの滝（オシンコシンのたき）は、北海道斜里郡斜里町のチャラッセナイ川の河口付近にある滝。日本の滝百選。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),オシンコシンの滝
オニウシ公園,,42.1008333,140.5691667,北海道,E,公園,,オニウシ公園（オニウシこうえん）は、北海道茅部郡森町にある公園。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),オニウシ公園
オホーツクとっかりセンター,,44.3335833,143.3735278,北海道,C,公園,,オホーツクとっかりセンターは北海道紋別市海洋公園2番地にある日本で唯一の海獣専門保護施設。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),オホーツクとっかりセンター
オホーツク流氷館,,44.0010556,144.2397778,北海道,D,博物館他,,オホーツク流氷館（オホーツクりゅうひょうかん）は北海道網走市の天都山山頂にある流氷とオホーツク海をテーマとする網走市立の科学館。(掲載元: ja.wikipedia「北海道の観光地」 https://ja.wikipedia.org/wiki/北海道の観光地),オホーツク流氷館
